respondent_age_group,gender,education_level,occupation_type,monthly_income_range,location_state,most_used_network  ,network_rating_in_area,data_purchase_frequency,monthly_data_usage_in_GB,device_used_for_internet,main_data_usage_purpose, monthly_data_budget ,primary_mobile_network,network_speed_satisfaction,data_affordability_opinion,best_value_network,run_out_of_data_frequency,switched_network_reason,biggest_data_frustration
18-25,Male,Undergraduate,Student,"Below ?50,000",Kwara,MTN,5,Daily,8,Smartphone,"Social media (WhatsApp, Instagram, TikTok, etc.)","10,000.00",Two,Satisfied,Very expensive,MTN,Very often,"Yes, due to high cost",High cost
18-25,Male,Undergraduate,Student,"?50,000– ?99,000",Kwara,MTN,2,Monthly,25,Smartphone,Online learning or research,"10,000.00",Two,Satisfied,Quite expensive,MTN,Rarely,"Yes, due to other reasons",High cost
18-25,Female,Undergraduate,Student,"Below ?50,000",Lagos,MTN,3,Every 2–3 days,25,Smartphone,Online learning or research,"7,500.00",Two,Satisfied,Fairly affordable,Airtel,Very often,"Yes, due to poor network quality",Data finishes too fast
18-25,Male,Undergraduate,Student,"?100,000 – ?199,000",Lagos,Glo,3,Weekly,25,Smartphone,"Social media (WhatsApp, Instagram, TikTok, etc.)","10,000.00",Two,Neutral,Quite expensive,Glo,Rarely,"No, I’ve stayed with my current provider",Poor network speed
18-25,Female,Undergraduate,Student,"Below ?50,000",Kwara,MTN,3,Every 2–3 days,15.5,Smartphone,"Social media (WhatsApp, Instagram, TikTok, etc.)","7,500.00",One,Dissatisfied,Quite expensive,Airtel,Very often,"Yes, due to poor network quality",Poor network speed
18-25,Male,Undergraduate,Student,"?50,000– ?99,000",Kwara,Airtel,3,Monthly,25,Laptop,"Business/Work-related tasks (emails, meetings, etc.)","10,000.00",Two,Very dissatisfied,Very expensive,None — all are too expensive,Never,"No, I’ve stayed with my current provider",Poor network speed
18-25,Male,Graduate,Employed,"?50,000– ?99,000",Oyo,MTN,3,Daily,25,Smartphone,"Social media (WhatsApp, Instagram, TikTok, etc.)","10,000.00",One,Satisfied,Very expensive,None — all are too expensive,Very often,"Yes, due to high cost",Lack of transparency in data usage
26-35,Female,Graduate,Unemployed,"?50,000– ?99,000",Abuja,Airtel,3,Weekly,15.5,Smartphone,"Social media (WhatsApp, Instagram, TikTok, etc.)","7,500.00",One,Satisfied,Quite expensive,Glo,Very often,"Yes, due to high cost",Lack of transparency in data usage
26-35,Male,Graduate,Self employed,"?200,000 – ?299,000",Lagos,MTN,3,Every 2–3 days,8,Smartphone,"Social media (WhatsApp, Instagram, TikTok, etc.)","10,000.00",Two,Neutral,Quite expensive,None — all are too expensive,Very often,"Yes, due to poor network quality",Poor network speed
18-25,Male,Graduate,Self employed,"?50,000– ?99,000",Lagos,Glo,3,Daily,15.5,Smartphone,"Social media (WhatsApp, Instagram, TikTok, etc.)","10,000.00",Three or more,Neutral,Quite expensive,MTN,Very often,"Yes, due to other reasons",Data finishes too fast
18-25,Female,Postgraduate,Self employed,"Below ?50,000",Oyo,Airtel,4,Daily,25,Smartphone,"Social media (WhatsApp, Instagram, TikTok, etc.)","10,000.00",Two,Neutral,Quite expensive,Glo,Very often,"Yes, due to poor network quality",Data finishes too fast
18-25,Male,Undergraduate,Student,"Below ?50,000",Kwara,MTN,3,Weekly,8,Smartphone,"Social media (WhatsApp, Instagram, TikTok, etc.)","2,500.00",Two,Neutral,Very expensive,Glo,Very often,"Yes, due to high cost",High cost
18-25,Male,Graduate,Self employed,"?50,000– ?99,000",Kwara,MTN,3,Monthly,25,Smartphone,"Business/Work-related tasks (emails, meetings, etc.)","7,500.00",Two,Dissatisfied,Quite expensive,None — all are too expensive,Occasionally,"Yes, due to poor network quality",Poor network speed
18-25,Male,Graduate,Self employed,"?50,000– ?99,000",Kwara,MTN,3,Daily,25,Smartphone,Streaming videos or music,"7,500.00",Two,Satisfied,Fairly affordable,Airtel,Very often,"Yes, due to high cost",Data finishes too fast
18-25,Female,Undergraduate,Unemployed,"Below ?50,000",Kwara,MTN,4,Every 2–3 days,25,Smartphone,Online learning or research,"7,500.00",Two,Neutral,Very expensive,Glo,Occasionally,"Yes, due to high cost",Poor network speed
